Meal Type,Food Name,Calories,Protein (g),Fats (g),Carbs (g),Vata,Pitta,Kapha,type
Breakfast,Oatmeal with Milk,250,10,6,40,+,+,-,veg
Breakfast,Boiled Eggs,155,13,11,1,+,-,+,non-veg
Breakfast,Fruit Smoothie,220,5,3,45,+,+,-,veg
Breakfast,Avocado Toast,300,6,15,30,+,-,+,veg
Breakfast,Greek Yogurt,180,12,8,15,+,-,+,veg
Breakfast,Poha,250,6,8,40,+,+,-,veg
Breakfast,Upma,270,7,10,38,+,+,-,veg
Breakfast,Pancakes,320,8,12,45,-,+,+,veg
Breakfast,Idli Sambar,200,8,3,38,+,+,-,veg
Breakfast,Cornflakes Milk,220,6,4,42,+,+,-,veg
Breakfast,Banana Shake,280,8,6,50,+,+,-,veg
Breakfast,Vegetable Sandwich,300,10,10,40,+,+,-,veg
Breakfast,Peanut Butter Toast,350,12,18,30,+,-,+,veg
Breakfast,Ragi Porridge,210,7,5,35,+,+,-,veg
Breakfast,Chia Pudding,260,9,10,30,+,+,-,veg
Breakfast,Apple Oats,240,8,6,38,+,+,-,veg
Breakfast,Cheese Omelette,300,14,20,2,+,-,+,non-veg
Breakfast,Granola Bowl,320,10,12,45,+,+,-,veg
Breakfast,Protein Shake,200,20,5,10,+,+,-,veg
Breakfast,Toast Jam,280,6,5,50,+,+,-,veg

Lunch,Rice and Dal,400,12,8,60,+,+,-,veg
Lunch,Grilled Chicken,350,30,12,5,+,-,+,non-veg
Lunch,Paneer Curry,420,18,28,20,+,-,+,veg
Lunch,Vegetable Pulao,380,8,12,55,+,+,-,veg
Lunch,Chole Rice,450,14,15,65,+,+,-,veg
Lunch,Rajma Chawal,430,15,12,60,+,+,-,veg
Lunch,Chicken Curry,500,28,20,25,+,-,+,non-veg
Lunch,Fish Curry,480,25,18,20,+,-,+,non-veg
Lunch,Quinoa Salad,350,10,10,45,+,+,-,veg
Lunch,Vegetable Korma,420,9,22,40,+,-,+,veg
Lunch,Tofu Stir Fry,300,15,12,25,+,+,-,veg
Lunch,Lentil Soup,280,12,6,40,+,+,-,veg
Lunch,Spaghetti Pasta,450,12,14,65,-,+,+,veg
Lunch,Vegetable Lasagna,500,15,20,60,+,+,-,veg
Lunch,Burrito Bowl,480,18,16,55,+,+,-,veg
Lunch,Chicken Salad,350,25,12,20,+,+,-,non-veg
Lunch,Paneer Wrap,420,16,18,40,+,-,+,veg
Lunch,Vegetable Curry,360,8,14,45,+,+,-,veg
Lunch,Steamed Rice Veggies,300,6,5,55,+,+,-,veg
Lunch,Egg Fried Rice,400,14,15,50,+,+,-,non-veg

Dinner,Khichdi,300,10,6,45,+,+,-,veg
Dinner,Grilled Fish,320,28,10,5,+,-,+,non-veg
Dinner,Vegetable Soup,200,6,4,30,+,+,-,veg
Dinner,Chicken Soup,250,20,8,10,+,+,-,non-veg
Dinner,Paneer Bhurji,350,18,22,10,+,-,+,veg
Dinner,Tofu Curry,300,14,12,20,+,+,-,veg
Dinner,Salad Bowl,220,8,10,25,+,+,-,veg
Dinner,Vegetable Stir Fry,280,9,10,30,+,+,-,veg
Dinner,Lentil Stew,320,14,8,40,+,+,-,veg
Dinner,Grilled Veggies,250,7,9,30,+,+,-,veg
Dinner,Chicken Wrap,400,22,15,35,+,+,-,non-veg
Dinner,Egg Curry,350,16,18,15,+,-,+,non-veg
Dinner,Rice with Veg Curry,380,8,12,50,+,+,-,veg
Dinner,Quinoa Bowl,330,12,10,40,+,+,-,veg
Dinner,Spinach Paneer,400,18,25,15,+,-,+,veg
Dinner,Vegetable Pasta,420,12,14,60,+,+,-,veg
Dinner,Soup and Bread,300,8,6,45,+,+,-,veg
Dinner,Grilled Tofu,280,15,12,20,+,+,-,veg
Dinner,Chicken Rice,450,25,14,50,+,+,-,non-veg
Dinner,Vegetable Noodles,400,10,12,60,+,+,-,veg

Breakfast,Dates Milkshake,300,9,8,45,+,+,-,veg
Breakfast,Sprouts Salad,200,12,4,25,+,+,-,veg
Breakfast,Masala Omelette,280,14,18,5,+,-,+,non-veg
Breakfast,Milk Banana,260,8,5,45,+,+,-,veg
Breakfast,Almond Oats,280,10,12,35,+,+,-,veg
Breakfast,Boiled Corn,200,6,3,40,+,+,-,veg
Breakfast,Yogurt Parfait,240,10,8,30,+,+,-,veg
Breakfast,Cheese Sandwich,320,12,15,30,+,-,+,veg
Breakfast,Vegetable Omelette,250,12,14,10,+,+,-,non-veg
Breakfast,Protein Pancakes,300,15,10,35,+,+,-,veg

Lunch,Beef Steak,500,30,25,5,-,-,+,non-veg
Lunch,Turkey Sandwich,350,20,10,40,+,+,-,non-veg
Lunch,Chicken Burger,550,25,30,45,-,-,+,non-veg
Lunch,Vegetable Burger,450,12,20,50,+,+,-,veg
Lunch,Sushi Roll,300,15,8,40,+,+,-,non-veg
Lunch,Chicken Biryani,600,25,25,60,+,-,+,non-veg
Lunch,Mutton Curry,650,28,35,20,-,-,+,non-veg
Lunch,Fried Rice,500,12,20,60,-,+,+,veg
Lunch,Mac Cheese,550,15,30,55,-,+,+,veg
Lunch,Vegetable Wrap,350,10,12,40,+,+,-,veg

Dinner,Grilled Chicken Salad,350,28,12,15,+,+,-,non-veg
Dinner,Vegetable Stew,280,8,10,35,+,+,-,veg
